au,kunde,gesamt,vorlauf,lager,unsicherheit
AU2026021813401,Outlet Simex D.O.O,62.0,22.0,39,3
AU2026022313417,AMY Witgoed,51.0,2.0,48,2
AU2026022513425,Enterijer D.O.O.,74.0,7.0,66,32
AU2026030413445,SC Gelimpex SRL,43.0,6.0,37,1
AU2026030913462,Karakitsos Stock House IKE,90.0,1.0,88,4
AU2026031013467,Egzoni Sh.P.K,31.0,9.0,21,5
AU2026031113475,Euroda Transport &Handel,35.0,20.0,14,2
AU2026032013499,Hermans Trading BV,18.0,5.0,12,1
AU2026032013500,Deland Ltd EOOD,18.0,0.0,17,1
AU2026032413502,Ovitshop,82.0,0.0,81,4
AU2026032413506,Hermans Trading BV,102.0,1.0,101,7
AU2026033113525,TECHNO ELECTRONICS 5 Ltd,10.0,0.0,9,5
AU2026033113526,Hanseatic georgia LLC,15.0,0.0,14,2
AU2026040113529,Simex D.O.O,9.0,1.0,7,5
AU2026040213533,Egzoni Sh.P.K,8.0,5.0,2,5
AU2026032413504,Kaldi Prime Kft,22.0,15.0,6,2
AU2026040813534,Trade S.R.O. Számlázási,2.0,0.0,1,5
AU2026040813535,Luboš Ulman,8.0,0.0,7,1
AU2026040913538,Buy4less GmbH,4.0,1.0,3,1
AU2026041013539,SUNELECTRO OÜ,5.0,0.0,4,2
AU2026041013540,Hanseatic georgia LLC,30.0,0.0,29,32
AU2026041013542,New Returns BV,3.0,0.0,2,1
AU2026041013544,Buy4less GmbH,11.0,3.0,7,3
AU2026041013546,Banat Electrocasnice S.R.L.,13.0,3.0,10,1
AU2026041013547,M&J TRADE D.O.O.,5.0,3.0,1,2
AU2026041313549,Almost New LTD,27.0,1.0,25,32
AU2026041413551,GLOBAL LIQUIDACIONES SL,7.0,0.0,6,3
AU2026041413552,SUNELECTRO OÜ,26.0,0.0,25,32
AU2026041413558,NAS ELECTROMENAGER,2.0,0.0,1,1
AU2026040113528,Outlet Simex D.O.O,20.0,15.0,4,3
AU2026041013541,IG international trading GmbH,11.0,5.0,5,3
AU2026041413554,UAB STEVIJA,26.0,2.0,23,32
AU2026041413555,Marketvibe Srl,7.0,2.0,4,3
AU2026041313550,Hanseatic georgia LLC,27.0,8.0,18,32
AU2026041413553,Sefik,26.0,9.0,16,32
AU2026042013572,Elektroshop Enny Dizdarevic Ernesa e.U.,20.0,1.0,18,32
AU2026042013573,IG international trading GmbH,20.0,3.0,16,32
AU2026042013574,UAB STEVIJA,20.0,1.0,18,32
