au,kunde,va,gesamt,vorlauf,lager,quelle,key,grp,zahlungseingang,start
AU2026040113527,GGY Trade s.r.o.,Abholung,0,0.0,0.0,Pipeline-2026,ggytradesro,ggytradesro,2026-04-01,2026-04-01
AU2026032513511,Nikokira Outlet,Abholung,13,6.0,7.0,Pipeline-2026,nikokiraoutlet,nikokiraoutlet,2026-04-21,2026-03-25
AU2026032513508,IG International,Spedition,13,6.0,7.0,Pipeline-2026,iginternational,iginternational,2026-04-13,2026-03-25
AU2026032013497,Stock House Nikaias,Abholung,18,11.0,7.0,Pipeline-2026,stockhousenikaias,stockhousenikaias,2026-04-02,2026-03-20
AU2026040113530,SADI,Abholung,6,0.0,6.0,Pipeline-2026,sadi,sadi,2026-04-07,2026-04-01
AU2026032013499,Hermans Trading,Abholung,18,5.0,13.0,Pipeline-2026,hermanstrading,hermanstrading,2026-03-25,2026-03-20
AU2026033113526,Hanseatic Georgia LLC,Abholung,15,0.0,15.0,Pipeline-2026,hanseaticgeorgia,hanseaticgeorgia,2026-05-07,2026-03-31
AU2026032413504,Kaldi Prime Kft,Abholung,23,8.0,15.0,Pipeline-2026,kaldiprime,kaldiprime,2026-04-08,2026-03-24
AU2026040113529,Simex D.O.O,Abholung,9,1.0,8.0,Pipeline-2026,simexdoo,simexdoo,2026-04-09,2026-04-01
AU2026040213533,Egzoni Sh.P.K,Abholung,12,5.0,7.0,Pipeline-2026,egzonishpk,egzonishpk,2026-04-08,2026-04-02
AU2026033113525,TECHNO ELECTRONICS 5 Ltd,Abholung,10,0.0,10.0,Pipeline-2026,technoelectronics5,technoelectronics5,2026-05-04,2026-03-31
AU2026040813534,Online Shopping Trade,Spedition,2,0.0,2.0,Pipeline-2026,onlineshoppingtrade,onlineshoppingtrade,2026-04-09,2026-04-08
AU2026040813535,Luboš Ulman,Spedition,2,0.0,2.0,Pipeline-2026,luboulman,luboulman,2026-04-21,2026-04-08
AU2026040913538,Buy4less GmbH,Abholung,5,1.0,4.0,Pipeline-2026,buy4less,buy4less,2026-05-08,2026-04-09
AU2026040913536,GGY Trade s.r.o.,Abholung,4,,,Pipeline-2026,ggytradesro,ggytradesro,2026-04-13,2026-04-09
AU2026041013542,New Returns,Spedition,4,0.0,4.0,Pipeline-2026,newreturns,newreturns,2026-04-21,2026-04-10
AU2026041013539,SUNELECTRO OÜ,Abholung,7,0.0,7.0,Pipeline-2026,sunelectro,sunelectro,2026-04-14,2026-04-10
AU2026031113475,Euroda Transport & Handel,Abholung,35,20.0,15.0,Pipeline-2026,eurodatransporthandel,eurodatransporthandel,2026-04-10,2026-03-11
AU2026041013547,M&J TRADE D.O.O.,Abholung,5,3.0,2.0,Pipeline-2026,mjtradedoo,mjtradedoo,2026-04-15,2026-04-10
AU2026041013544,Buy4less GmbH,Spedition,11,3.0,8.0,Pipeline-2026,buy4less,buy4less,2026-05-18,2026-04-10
AU2026041013546,Banat Electrocasnice S.R.L,Spedition,14,3.0,11.0,Pipeline-2026,banatelectrocasnicesrl,banatelectrocasnicesrl,2026-04-14,2026-04-10
AU2026041413558,NAS ELECTROMENAGER,Abholung,3,0.0,3.0,Pipeline-2026,naselectromenager,naselectromenager,2026-04-15,2026-04-14
AU2026041413551,GLOBAL LIQUIDACIONES SL,Spedition,9,0.0,9.0,Pipeline-2026,globalliquidaciones,globalliquidaciones,2026-04-15,2026-04-14
AU2026041013541,IG International,Spedition,11,5.0,6.0,Pipeline-2026,iginternational,iginternational,2026-04-27,2026-04-10
AU2026041413552,SUNELECTRO OÜ,Abholung,13,0.0,13.0,Pipeline-2026,sunelectro,sunelectro,2026-04-21,2026-04-14
AU2026040113528,Simex Outlet,Abholung,21,,,Pipeline-2026,simexoutlet,simexoutlet,2026-04-20,2026-04-01
AU2026041413555,Marketvibe Srl,Abholung,9,,,Pipeline-2026,marketvibe,marketvibe,2026-04-20,2026-04-14
AU2026041413554,Uab Stevija,Abholung,22,,,Pipeline-2026,stevija,stevija,2026-04-20,2026-04-14
AU2026042013572,Elektroshop Enny Dizdarevic Ernesa e.U.,Spedition,16,0.0,16.0,Pipeline-2026,elektroshopennydizdarevicernesaeu,elektroshopennydizdarevicernesaeu,2026-04-22,2026-04-20
AU2026041313549,Almost New LTD,Abholung,25,1.0,24.0,Pipeline-2026,almostnew,almostnew,2026-04-15,2026-04-13
AU2026041313550,Hanseatic Georgia LLC,Abholung,23,,,Pipeline-2026,hanseaticgeorgia,hanseaticgeorgia,,2026-04-13
